Time,Oxygen Level,Pulse Rate,Motion
07:49:49 PM May 01 2023,96,58,1
07:49:53 PM May 01 2023,96,60,0
07:49:57 PM May 01 2023,95,63,0
07:50:01 PM May 01 2023,95,63,0
07:50:05 PM May 01 2023,95,63,0
07:50:09 PM May 01 2023,94,63,0
07:50:13 PM May 01 2023,94,63,4
07:50:17 PM May 01 2023,94,65,4
07:50:21 PM May 01 2023,93,64,0
07:50:25 PM May 01 2023,93,61,0
07:50:29 PM May 01 2023,92,59,0
07:50:33 PM May 01 2023,92,61,0
07:50:37 PM May 01 2023,92,63,1
07:50:41 PM May 01 2023,94,66,9
07:50:45 PM May 01 2023,94,67,6
07:50:49 PM May 01 2023,95,66,8
07:50:53 PM May 01 2023,95,66,5
07:50:57 PM May 01 2023,95,66,21
07:51:01 PM May 01 2023,95,66,8
07:51:05 PM May 01 2023,96,64,0
07:51:09 PM May 01 2023,96,62,0
07:51:13 PM May 01 2023,94,59,0
07:51:17 PM May 01 2023,94,59,18
07:51:21 PM May 01 2023,94,59,3
07:51:25 PM May 01 2023,95,60,0
07:51:29 PM May 01 2023,95,59,0
07:51:33 PM May 01 2023,95,56,0
07:51:37 PM May 01 2023,95,56,8
07:51:41 PM May 01 2023,95,51,6
07:51:45 PM May 01 2023,96,51,0
07:51:49 PM May 01 2023,96,53,0
07:51:53 PM May 01 2023,96,56,0
07:51:57 PM May 01 2023,96,58,0
07:52:01 PM May 01 2023,96,59,0
07:52:05 PM May 01 2023,96,60,7
07:52:09 PM May 01 2023,96,60,18
07:52:13 PM May 01 2023,97,60,12
07:52:17 PM May 01 2023,97,60,15
07:52:21 PM May 01 2023,98,62,14
07:52:25 PM May 01 2023,98,62,17
07:52:29 PM May 01 2023,98,62,3
07:52:33 PM May 01 2023,97,63,0
07:52:37 PM May 01 2023,97,64,0
07:52:41 PM May 01 2023,97,64,1
07:52:45 PM May 01 2023,96,66,0
07:52:49 PM May 01 2023,94,65,0
07:52:53 PM May 01 2023,94,65,1
07:52:57 PM May 01 2023,95,61,0
07:53:01 PM May 01 2023,96,60,0
