Time,Oxygen Level,Pulse Rate,Motion
01:15:33 AM Jun 08 2023,96,49,0
01:15:37 AM Jun 08 2023,96,52,0
01:15:41 AM Jun 08 2023,96,52,0
01:15:45 AM Jun 08 2023,96,53,0
01:15:49 AM Jun 08 2023,96,52,0
01:15:53 AM Jun 08 2023,96,54,0
01:15:57 AM Jun 08 2023,96,52,0
01:16:01 AM Jun 08 2023,96,50,0
01:16:05 AM Jun 08 2023,96,50,0
01:16:09 AM Jun 08 2023,96,54,0
01:16:13 AM Jun 08 2023,96,56,0
01:16:17 AM Jun 08 2023,96,53,0
01:16:21 AM Jun 08 2023,96,52,0
01:16:25 AM Jun 08 2023,96,52,0
01:16:29 AM Jun 08 2023,96,51,0
01:16:33 AM Jun 08 2023,96,53,0
01:16:37 AM Jun 08 2023,95,54,0
01:16:41 AM Jun 08 2023,95,54,0
01:16:45 AM Jun 08 2023,96,54,10
01:16:49 AM Jun 08 2023,96,54,0
01:16:53 AM Jun 08 2023,98,50,0
01:16:57 AM Jun 08 2023,97,51,0
01:17:01 AM Jun 08 2023,97,54,0
01:17:05 AM Jun 08 2023,97,55,0
01:17:09 AM Jun 08 2023,97,56,0
01:17:13 AM Jun 08 2023,96,56,0
01:17:17 AM Jun 08 2023,96,58,1
01:17:21 AM Jun 08 2023,96,56,0
01:17:25 AM Jun 08 2023,96,56,0
01:17:29 AM Jun 08 2023,96,58,0
01:17:33 AM Jun 08 2023,96,57,0
01:17:37 AM Jun 08 2023,96,55,0
01:17:41 AM Jun 08 2023,96,56,0
01:17:45 AM Jun 08 2023,96,57,0
01:17:49 AM Jun 08 2023,96,59,0
01:17:53 AM Jun 08 2023,96,58,0
01:17:57 AM Jun 08 2023,96,59,0
01:18:01 AM Jun 08 2023,95,59,0
01:18:05 AM Jun 08 2023,95,60,0
01:18:09 AM Jun 08 2023,95,59,0
01:18:13 AM Jun 08 2023,95,59,0
01:18:17 AM Jun 08 2023,95,58,0
01:18:21 AM Jun 08 2023,96,58,0
01:18:25 AM Jun 08 2023,96,59,0
01:18:29 AM Jun 08 2023,96,59,0
01:18:33 AM Jun 08 2023,96,59,0
01:18:37 AM Jun 08 2023,96,59,0
01:18:41 AM Jun 08 2023,96,59,0
01:18:45 AM Jun 08 2023,97,58,0
01:18:49 AM Jun 08 2023,96,58,0
01:18:53 AM Jun 08 2023,96,58,0
01:18:57 AM Jun 08 2023,96,59,0
01:19:01 AM Jun 08 2023,96,60,0
01:19:05 AM Jun 08 2023,96,60,0
01:19:09 AM Jun 08 2023,96,59,1
01:19:13 AM Jun 08 2023,96,58,0
01:19:17 AM Jun 08 2023,96,57,0
01:19:21 AM Jun 08 2023,95,57,0
01:19:25 AM Jun 08 2023,95,58,0
01:19:29 AM Jun 08 2023,95,59,0
01:19:33 AM Jun 08 2023,95,59,0
01:19:37 AM Jun 08 2023,96,59,0
01:19:41 AM Jun 08 2023,96,60,0
01:19:45 AM Jun 08 2023,95,61,0
01:19:49 AM Jun 08 2023,95,61,0
01:19:53 AM Jun 08 2023,95,60,0
01:19:57 AM Jun 08 2023,96,59,0
01:20:01 AM Jun 08 2023,96,59,0
01:20:05 AM Jun 08 2023,96,60,0
01:20:09 AM Jun 08 2023,96,59,0
01:20:13 AM Jun 08 2023,96,58,0
01:20:17 AM Jun 08 2023,96,58,0
01:20:21 AM Jun 08 2023,96,58,0
01:20:25 AM Jun 08 2023,95,59,0
01:20:29 AM Jun 08 2023,95,59,0
01:20:33 AM Jun 08 2023,95,59,0
01:20:37 AM Jun 08 2023,95,59,0
01:20:41 AM Jun 08 2023,95,59,0
01:20:45 AM Jun 08 2023,95,60,0
01:20:49 AM Jun 08 2023,95,59,0
01:20:53 AM Jun 08 2023,95,59,0
01:20:57 AM Jun 08 2023,95,59,0
01:21:01 AM Jun 08 2023,95,60,0
01:21:05 AM Jun 08 2023,95,60,0
01:21:09 AM Jun 08 2023,96,59,0
01:21:13 AM Jun 08 2023,96,58,0
01:21:17 AM Jun 08 2023,96,58,0
01:21:21 AM Jun 08 2023,96,58,0
01:21:25 AM Jun 08 2023,95,59,0
01:21:29 AM Jun 08 2023,95,59,0
01:21:33 AM Jun 08 2023,95,59,0
01:21:37 AM Jun 08 2023,95,59,0
01:21:41 AM Jun 08 2023,95,60,0
01:21:45 AM Jun 08 2023,95,61,0
01:21:49 AM Jun 08 2023,95,61,0
01:21:53 AM Jun 08 2023,96,61,0
01:21:57 AM Jun 08 2023,96,61,0
01:22:01 AM Jun 08 2023,96,60,0
01:22:05 AM Jun 08 2023,96,60,0
01:22:09 AM Jun 08 2023,96,59,0
01:22:13 AM Jun 08 2023,96,60,0
01:22:17 AM Jun 08 2023,96,60,0
01:22:21 AM Jun 08 2023,96,60,0
01:22:25 AM Jun 08 2023,96,59,0
01:22:29 AM Jun 08 2023,96,60,0
01:22:33 AM Jun 08 2023,96,60,0
01:22:37 AM Jun 08 2023,96,60,0
01:22:41 AM Jun 08 2023,95,60,0
01:22:45 AM Jun 08 2023,95,59,0
01:22:49 AM Jun 08 2023,95,59,0
01:22:53 AM Jun 08 2023,96,59,0
01:22:57 AM Jun 08 2023,96,59,0
01:23:01 AM Jun 08 2023,97,59,0
01:23:05 AM Jun 08 2023,97,58,0
01:23:09 AM Jun 08 2023,97,59,0
01:23:13 AM Jun 08 2023,96,59,0
01:23:17 AM Jun 08 2023,96,58,0
01:23:21 AM Jun 08 2023,96,59,0
01:23:25 AM Jun 08 2023,96,59,0
01:23:29 AM Jun 08 2023,96,60,0
01:23:33 AM Jun 08 2023,96,59,0
01:23:37 AM Jun 08 2023,96,59,0
01:23:41 AM Jun 08 2023,96,59,0
01:23:45 AM Jun 08 2023,95,58,0
01:23:49 AM Jun 08 2023,95,59,0
01:23:53 AM Jun 08 2023,95,60,0
